,Close,MA10,EMA12,EMA26,MACD,UB,LB,ATR,RSI,pivot,s1,r1,s2,r2,s3,r3,CCI,mom,^GDAXI,^GSPC,^IXIC,usd_interest,usd_inflation,eur_interest,eur_inflation
2020-09-03,1.184735894203186,1.1859143137931825,1.1862125070484535,1.1795071009010998,0.0067054061473537,1.1963957454404308,1.1721614335337207,0.0104605555534362,50.49267456691212,1.182836373647054,1.180866758028666,1.1867055098215735,1.1769976218541462,1.1886751254399617,1.1750280062357583,1.1925442616144817,3.027163393946032,0.0027726888656616,13057.76953125,3455.06005859375,11458.099609375,0.09,0.45096,0.25,0.4
2020-09-04,1.1839784383773804,1.18557550907135,1.1858688041759806,1.179838311084528,0.0060304930914525,1.196108082727472,1.1720820985278688,0.0105863383838108,45.40949661296731,1.182835380236308,1.1793185075124106,1.1874953111012778,1.1746585766474409,1.191012183825175,1.1711417039235434,1.195672114690145,1.721204660522338,-0.0078456401824953,12842.66015625,3426.9599609375,11313.1298828125,0.09,0.45096,0.25,0.4
2020-09-08,1.182172775268555,1.1862118124961851,1.1849847806677938,1.1802586705300135,0.0047261101377802,1.1954362504902227,1.1741107470569268,0.0099536435944693,54.41444022079982,1.1805882056554158,1.178304354349772,1.1844566265741985,1.1744359334309895,1.186740477879842,1.1721520821253455,1.1906088987986243,0.7962564198192925,-0.0101486444473262,12968.330078125,3331.840087890625,10847.6904296875,0.09,0.45096,0.25,0.4
2020-09-09,1.177024483680725,1.1855640649795531,1.1837601195928602,1.18001910113377,0.0037410184590902,1.1949512917452263,1.174932770068128,0.0094932998929704,39.84594282468053,1.1784809430440266,1.1739079157511392,1.1815975109736123,1.1707913478215537,1.1861705382664998,1.166218320528666,1.1892871061960857,-1.9011655224245667,-0.0077114105224609,13237.2099609375,3398.9599609375,11141.5595703125,0.09,0.45096,0.25,0.4
2020-09-10,1.1806375980377195,1.185200536251068,1.1832797316613002,1.1800649157192475,0.0032148159420526,1.1948819893687668,1.1751278144032058,0.0095860106604439,44.76759149637068,1.184131940205892,1.1767948071161904,1.187974731127421,1.1729520161946614,1.1953118642171223,1.16561488310496,1.1991546551386514,0.0272981838033806,-0.0033408403396608,13208.8896484375,3339.18994140625,10919.58984375,0.09,0.45096,0.25,0.4
2020-09-11,1.1824384927749634,1.185248064994812,1.1831503102941714,1.1802407362418932,0.0029095740522782,1.1948713303105214,1.1752167343600413,0.0094620244843619,50.69426789302669,1.184226393699646,1.1808043718338013,1.185860514640808,1.1791702508926394,1.1892825365066526,1.1757482290267949,1.1909166574478145,-1.0663468633281994,-0.0010074377059936,13202.83984375,3340.969970703125,10853.5498046875,0.09,0.90276,0.25,0.4
2020-09-14,1.1842728853225708,1.1844929456710815,1.1833230141446942,1.180539413951573,0.0027836001931211,1.1948275767719865,1.1751622356021283,0.0094927208764212,35.59093018388889,1.185459812482198,1.182119051615397,1.1876136461893716,1.1799652179082234,1.1909544070561726,1.1766244570414224,1.1931082407633462,-1.162230119325324,0.0021001100540158,13193.66015625,3383.5400390625,11056.650390625,0.09,0.90276,0.25,0.4
2020-09-15,1.187000036239624,1.1838027954101562,1.1838887098516069,1.1810179785655026,0.002870731286104,1.1947625421740953,1.1751624322674332,0.0094617945807321,37.14928792129843,1.187082012494405,1.1840646664301553,1.1900173823038738,1.1811292966206866,1.1930347283681235,1.1781119505564368,1.1959700981775925,-1.0738579218146365,0.0099755525588989,13217.669921875,3401.199951171875,11190.3203125,0.09,0.90276,0.25,0.4
2020-09-16,1.1844412088394165,1.1830147743225097,1.1839737096958851,1.1812715511783851,0.0027021585174999,1.1930856166170818,1.1758048834515828,0.0090053592409406,35.84290646175488,1.1847340663274128,1.1811676422754922,1.188007632891337,1.177894075711568,1.1915740569432576,1.1743276516596477,1.1948476235071817,-1.568208448017115,0.0038036108016969,13255.3701171875,3385.489990234375,11050.4697265625,0.09,0.90276,0.25,0.4
2020-09-17,1.1803449392318726,1.1825756788253785,1.1834154373168062,1.1812029132564212,0.0022125240603849,1.1930781531912984,1.1754118394272626,0.0089650579861232,40.98072440204509,1.179173509279887,1.1753351291020713,1.1841833194096885,1.1703253189722698,1.188021699587504,1.166486938794454,1.1930315097173056,-2.414567360990989,-0.0020935535430908,13208.1201171875,3357.010009765625,10910.2802734375,0.09,0.90276,0.25,-0.2
2020-09-18,1.1848200559616089,1.1826598405838014,1.1836315324929296,1.181470849753102,0.0021606827398277,1.1928340226918273,1.175401326963324,0.0084193519183567,51.49968986583511,1.1850146452585857,1.1829292376836142,1.1869054635365806,1.1810384194056194,1.188990871111552,1.178953011830648,1.1908816893895469,-0.905697304565786,0.000547170639038,13116.25,3319.469970703125,10793.2802734375,0.09,0.90276,0.25,-0.2
2020-09-21,1.1845533847808838,1.182770586013794,1.1837733559218455,1.181699185681086,0.0020741702407596,1.1928320238145758,1.175878482147796,0.0087569952011108,51.99226255833105,1.1817072629928589,1.1761143207550049,1.1901463270187378,1.167675256729126,1.1957392692565918,1.162082314491272,1.2041783332824707,-3.6217054988629327,-0.0024466514587402,12542.4404296875,3281.06005859375,10778.7998046875,0.09,0.90276,0.25,-0.2
2020-09-22,1.176800012588501,1.1822333097457889,1.1827005338705616,1.181336283970524,0.0013642499000374,1.193096177478023,1.1753489447639505,0.0090225594384329,42.162066278972425,1.174482027689616,1.171662410100301,1.179619630177816,1.166524807612101,1.1824392477671308,1.1637051900227862,1.1875768502553308,-6.4702058463267385,-0.0076411962509155,12594.3896484375,3315.570068359375,10963.6396484375,0.09,0.90276,0.25,-0.2
2020-09-23,1.1708368062973022,1.1816145420074462,1.180875345013137,1.1805585448836189,0.0003168001295184,1.1942974797061303,1.1728811272808688,0.0088048577308655,41.18288556402626,1.169776995976766,1.1675534645716348,1.1730603377024331,1.1642701228459675,1.1752838691075642,1.1620465914408364,1.1785672108332317,-6.347726827731378,-0.0095081329345703,12642.9697265625,3236.919921875,10632.990234375,0.09,0.90276,0.25,-0.2
2020-09-24,1.1658544540405271,1.180136227607727,1.1785644387096583,1.1794693529693157,-0.0009049142596571,1.195980462711127,1.169356301147668,0.0087829657963344,29.725929752741933,1.165640354156494,1.163180589675903,1.1683142185211184,1.160506725311279,1.1707739830017092,1.1580469608306885,1.1734478473663337,-8.036283806127528,-0.0189656019210817,12606.5703125,3246.590087890625,10672.26953125,0.09,0.90276,0.25,-0.2
2020-09-25,1.1673243045806885,1.1786248087882996,1.1768351873052016,1.1785697197553433,-0.0017345324501416,1.1969170079220657,1.166955865861046,0.0090458052498954,29.081987876868297,1.1657270193099976,1.1629431247711182,1.170108199119568,1.158561944961548,1.1728920936584473,1.1557780504226685,1.1772732734680176,-6.649624251847427,-0.0172290802001953,12469.2001953125,3298.4599609375,10913.5595703125,0.09,0.90276,0.25,-0.2
2020-09-28,1.1635348796844482,1.1765510082244872,1.174788986132778,1.17745602789824,-0.0026670417654619,1.1968529038634026,1.1641910500321662,0.0090150492531913,22.772078871335125,1.1643898089726763,1.1608145634333291,1.1671101252237954,1.1580942471822102,1.1706853707631428,1.1545190016428628,1.1734056870142615,-6.392645562160625,-0.0132651329040527,12870.8701171875,3351.60009765625,11117.5302734375,0.09,0.90276,0.25,-0.2
2020-09-29,1.167883276939392,1.1746393322944642,1.1737265693337957,1.1767469352346216,-0.0030203659008258,1.1952059095686558,1.1632362181359646,0.0092249938419887,25.925592316030247,1.1695679823557537,1.164972265561422,1.172478993733724,1.1620612541834514,1.177074710528056,1.1574655373891196,1.1799857219060264,-5.658282125036676,-0.0029535293579101,12825.8203125,3335.469970703125,11085.25,0.09,0.90276,0.25,-0.2
2020-09-30,1.1742050647735596,1.1736157178878783,1.1738001840168362,1.176558648533802,-0.0027584645169658,1.1931889491228238,1.1634415430875642,0.0087473392486572,38.225235380105055,1.1728174289067586,1.1699941555658977,1.1770283381144202,1.1657832463582358,1.1798516114552813,1.1629599730173747,1.184062520662943,-5.109489023948927,0.0083506107330324,12760.73046875,3363.0,11167.509765625,0.09,0.90276,0.25,-0.2
2020-10-01,1.1726078987121582,1.172842013835907,1.1736167555084245,1.1762660003988654,-0.0026492448904411,1.1924688429463473,1.162948849714938,0.0085958157266889,40.55706383362588,1.1737063725789387,1.1707123915354412,1.1756018797556558,1.168816884358724,1.1785958607991531,1.1658229033152263,1.1804913679758704,-2.227270208382153,0.0052835941314697,12730.76953125,3380.800048828125,11326.509765625,0.09,0.90276,0.25,-0.2
2020-10-02,1.1744946241378784,1.171809470653534,1.1737518122206478,1.176134787342496,-0.0023829751218482,1.1917539671051685,1.162715344132167,0.0084975617272513,36.54805464270421,1.1729695399602251,1.1712388197580972,1.1762253443400064,1.1679830153783162,1.1779560645421343,1.166252295176188,1.1812118689219155,-1.8160173213850372,0.0109597444534301,12689.0400390625,3348.419921875,11075.01953125,0.09,0.90276,0.25,-0.2
