,Close,FTSEMIB.MI,^DJI,^FCHI,^GDAXI,^GSPC,^IXIC,usd_interest,usd_inflation,eur_interest,eur_inflation
2022-05-23,1.056981921195984,24137.0,31880.240234375,6358.740234375,14175.400390625,3973.75,11535.26953125,0.83,9.30359,0.25,7.4
2022-05-24,1.0682048797607422,23876.0,31928.619140625,6253.14013671875,13919.75,3941.47998046875,11264.4501953125,0.83,9.30359,0.25,7.4
2022-05-25,1.0736525058746338,24250.0,32120.279296875,6298.64013671875,14007.9296875,3978.72998046875,11434.740234375,0.83,9.30359,0.25,7.4
2022-05-26,1.0686614513397217,24547.0,32637.189453125,6410.580078125,14231.2900390625,4057.840087890625,11740.650390625,0.83,9.30359,0.25,7.4
2022-05-27,1.0732953548431396,24636.0,33212.9609375,6515.75,14462.1904296875,4158.240234375,12131.1298828125,0.83,9.30359,0.25,7.4
2022-05-31,1.0773539543151855,24505.0,32990.12109375,6468.7998046875,14388.349609375,4132.14990234375,12081.3896484375,0.83,9.30359,0.25,7.4
2022-06-01,1.0734105110168457,24284.0,32813.23046875,6418.89013671875,14340.4697265625,4101.22998046875,11994.4599609375,0.83,9.30359,0.25,7.4
2022-06-02,1.0654165744781494,24427.0,33248.28125,6500.43994140625,14485.169921875,4176.81982421875,12316.900390625,0.83,9.30359,0.25,7.4
2022-06-03,1.0751069784164429,24167.0,32899.69921875,6485.2998046875,14460.08984375,4108.5400390625,12012.73046875,0.83,9.30359,0.25,7.4
2022-06-06,1.0726046562194824,24566.0,32915.78125,6548.77978515625,14653.8095703125,4121.43017578125,12061.3701171875,0.83,9.30359,0.25,7.4
2022-06-07,1.0691413879394531,24366.0,33180.140625,6500.35009765625,14556.6201171875,4160.68017578125,12175.23046875,0.83,9.30359,0.25,7.4
2022-06-08,1.0698620080947876,24237.0,32910.8984375,6448.6298828125,14445.990234375,4115.77001953125,12086.26953125,0.83,9.30359,0.25,7.4
2022-06-09,1.071765422821045,23777.0,32272.7890625,6358.4599609375,14198.7998046875,4017.820068359375,11754.23046875,0.83,9.30359,0.25,7.4
2022-06-10,1.0619205236434937,22547.0,31392.7890625,6187.22998046875,13761.830078125,3900.860107421875,11340.01953125,0.83,9.62691,0.25,7.4
2022-06-13,1.0489987134933472,21918.0,30516.740234375,6022.31982421875,13427.0302734375,3749.6298828125,10809.23046875,0.83,9.62691,0.25,7.4
2022-06-14,1.0415147542953491,21847.0,30364.830078125,5949.83984375,13304.3896484375,3735.47998046875,10828.349609375,0.83,9.62691,0.25,7.4
2022-06-15,1.0440592765808103,22474.0,30668.529296875,6030.1298828125,13485.2900390625,3789.989990234375,11099.150390625,0.83,9.62691,0.25,7.4
2022-06-16,1.0456204414367676,21727.0,29927.0703125,5886.240234375,13038.490234375,3666.77001953125,10646.099609375,1.58,9.62691,0.25,7.4
2022-06-17,1.0546854734420776,21789.0,29888.779296875,5882.64990234375,13126.259765625,3674.840087890625,10798.349609375,1.58,9.62691,0.25,8.1
2022-06-21,1.0520778894424438,22089.0,30530.25,5964.66015625,13292.400390625,3764.7900390625,11069.2998046875,1.58,9.62691,0.25,8.1
