,Close,^DJI,^GSPC,^IXIC,^SSMI,usd_interest,usd_inflation,chf_interest,chf_inflation
2020-12-02,1.111716389656067,29883.7890625,3669.010009765625,12349.3701171875,10435.3603515625,0.09,0.79745,-0.75,-0.8
2020-12-03,1.1178054809570312,29969.51953125,3666.719970703125,12377.1796875,10342.6298828125,0.09,0.79745,-0.75,-0.8
2020-12-04,1.1226242780685425,30218.259765625,3699.1201171875,12464.23046875,10364.5,0.09,0.79745,-0.75,-0.8
2020-12-07,1.1214030981063845,30069.7890625,3691.9599609375,12519.9501953125,10375.3798828125,0.09,0.79745,-0.75,-0.8
2020-12-08,1.122877597808838,30173.880859375,3702.25,12582.76953125,10394.099609375,0.09,0.79745,-0.75,-0.8
2020-12-09,1.125456929206848,30068.810546875,3672.820068359375,12338.9501953125,10430.01953125,0.09,0.79745,-0.75,-0.8
2020-12-10,1.1244040727615356,29999.259765625,3668.10009765625,12405.8095703125,10395.9599609375,0.09,0.8551,-0.75,-0.8
2020-12-11,1.1288491487503052,30046.369140625,3663.4599609375,12377.8701171875,10391.759765625,0.09,0.8551,-0.75,-0.8
2020-12-14,1.1254416704177856,29861.55078125,3647.489990234375,12440.0400390625,10373.0302734375,0.09,0.8551,-0.75,-0.8
2020-12-15,1.1279298067092896,30199.310546875,3694.6201171875,12595.0595703125,10341.1796875,0.09,0.8551,-0.75,-0.8
2020-12-16,1.1293820142745972,30154.5390625,3701.169921875,12658.1904296875,10456.7802734375,0.09,0.8551,-0.75,-0.8
2020-12-17,1.1294457912445068,30303.369140625,3722.47998046875,12764.75,10540.3603515625,0.09,0.8551,-0.75,-0.8
2020-12-18,1.1303011178970337,30179.05078125,3709.409912109375,12755.6396484375,10523.8603515625,0.09,0.8551,-0.75,-0.8
2020-12-21,1.1293309926986694,30216.44921875,3694.919921875,12742.51953125,10305.51953125,0.09,0.8551,-0.75,-0.8
2020-12-22,1.1293309926986694,30015.509765625,3687.260009765625,12807.919921875,10403.3701171875,0.09,0.8551,-0.75,-0.8
2020-12-23,1.1263036727905271,30129.830078125,3690.010009765625,12771.1103515625,10411.919921875,0.09,0.8551,-0.75,-0.8
2020-12-28,1.124315619468689,30403.970703125,3735.360107421875,12899.419921875,10603.490234375,0.09,0.8551,-0.75,-0.8
2020-12-29,1.1257457733154297,30335.669921875,3727.0400390625,12850.2197265625,10682.0400390625,0.09,0.8551,-0.75,-0.8
2020-12-30,1.1310937404632568,30409.560546875,3732.0400390625,12870.0,10703.509765625,0.09,0.8551,-0.75,-0.8
2021-01-05,1.1347646713256836,30391.599609375,3726.860107421875,12818.9599609375,10694.08984375,0.09,0.8551,-0.75,-1.0
2021-01-06,1.1387187242507937,30829.400390625,3748.139892578125,12740.7900390625,10747.080078125,0.09,0.8551,-0.75,-1.0
2021-01-07,1.1388614177703855,31041.130859375,3803.7900390625,13067.48046875,10778.669921875,0.09,0.8551,-0.75,-1.0
2021-01-08,1.1297520399093628,31097.970703125,3824.679931640625,13201.98046875,10797.990234375,0.09,0.8551,-0.75,-1.0
2021-01-11,1.1265828609466553,31008.689453125,3799.610107421875,13036.4296875,10870.419921875,0.09,0.8551,-0.75,-1.0
2021-01-12,1.124075412750244,31068.689453125,3801.18994140625,13072.4296875,10875.25,0.09,0.8551,-0.75,-1.0
