,Close,^DJI,^GSPC,^GSPTSE,^IXIC,usd_interest,usd_inflation,cad_interest,cad_inflation
2022-07-12,0.7695385813713074,30981.330078125,3818.800048828125,18678.599609375,11264.73046875,1.58,9.62691,1.5,7.7
2022-07-13,0.7673831582069397,30772.7890625,3801.780029296875,18615.19921875,11247.580078125,1.58,10.13274,2.5,7.7
2022-07-14,0.7691775560379028,30630.169921875,3790.3798828125,18329.099609375,11251.1904296875,1.58,10.13274,2.5,7.7
2022-07-15,0.7628929018974304,31288.259765625,3863.159912109375,18394.5,11452.419921875,1.58,10.13274,2.5,7.7
2022-07-18,0.768674910068512,31072.609375,3830.85009765625,18595.599609375,11360.0498046875,1.58,10.13274,2.5,7.7
2022-07-19,0.7703388333320618,31827.05078125,3936.68994140625,18937.69921875,11713.150390625,1.58,10.13274,2.5,7.7
2022-07-20,0.776946485042572,31874.83984375,3959.89990234375,19020.69921875,11897.650390625,1.58,10.13274,2.5,8.1
2022-07-21,0.7762166857719421,32036.900390625,3998.949951171875,19062.900390625,12059.6103515625,1.58,10.13274,2.5,8.1
2022-07-22,0.7765181064605713,31899.2890625,3961.6298828125,18982.900390625,11834.1103515625,1.58,10.13274,2.5,8.1
2022-07-25,0.7737183570861816,31990.0390625,3966.840087890625,19104.5,11782.669921875,1.58,10.13274,2.5,8.1
2022-07-26,0.7781677842140198,31761.5390625,3921.050048828125,18972.69921875,11562.5703125,1.58,10.13274,2.5,8.1
2022-07-27,0.7767775058746338,32197.58984375,4023.610107421875,19254.599609375,12032.419921875,1.58,10.13274,2.5,8.1
2022-07-28,0.7802076935768127,32529.630859375,4072.429931640625,19456.69921875,12162.58984375,2.33,10.13274,2.5,8.1
2022-07-29,0.7808229923248291,32845.12890625,4130.2900390625,19692.900390625,12390.6904296875,2.32,10.13274,2.5,8.1
2022-08-02,0.7786282300949097,32396.169921875,4091.18994140625,19505.30078125,12348.759765625,2.33,10.13274,2.5,8.1
2022-08-03,0.7759215831756592,32812.5,4155.169921875,19545.900390625,12668.16015625,2.33,10.13274,2.5,8.1
2022-08-04,0.7779921889305115,32726.8203125,4151.93994140625,19577.0,12720.580078125,2.33,10.13274,2.5,8.1
2022-08-05,0.7769887447357178,32803.46875,4145.18994140625,19620.099609375,12657.5498046875,2.33,10.13274,2.5,8.1
2022-08-08,0.7725288271903992,32832.5390625,4140.06005859375,19669.19921875,12644.4599609375,2.33,10.13274,2.5,8.1
2022-08-09,0.7777864336967468,32774.41015625,4122.47021484375,19578.30078125,12493.9296875,2.33,10.13274,2.5,8.1
2022-08-10,0.7760420441627502,33309.51171875,4210.240234375,19885.900390625,12854.7998046875,2.33,9.33099,2.5,8.1
2022-08-11,0.7828401327133179,33336.671875,4207.27001953125,19991.900390625,12779.91015625,2.33,9.33099,2.5,8.1
2022-08-12,0.7835209369659424,33761.05078125,4280.14990234375,20179.80078125,13047.1904296875,2.33,9.33099,2.5,8.1
2022-08-15,0.7825031876564026,33912.44140625,4297.14013671875,20180.599609375,13128.0498046875,2.33,9.33099,2.5,8.1
2022-08-16,0.7749775648117065,34152.01171875,4305.2001953125,20270.0,13102.5498046875,2.33,9.33099,2.5,7.6
2022-08-17,0.7784887552261353,33980.3203125,4274.0400390625,20181.400390625,12938.1201171875,2.33,9.33099,2.5,7.6
2022-08-18,0.7741256356239319,33999.0390625,4283.740234375,20265.400390625,12965.33984375,2.33,9.33099,2.5,7.6
2022-08-19,0.7723737359046936,33706.73828125,4228.47998046875,20111.400390625,12705.2197265625,2.33,9.33099,2.5,7.6
2022-08-22,0.7692130208015442,33063.609375,4137.990234375,19974.900390625,12381.5703125,2.33,9.33099,2.5,7.6
2022-08-23,0.766395092010498,32909.58984375,4128.72998046875,19985.400390625,12381.2998046875,2.33,9.33099,2.5,7.6
2022-08-24,0.7717240452766418,32969.23046875,4140.77001953125,20021.400390625,12431.5302734375,2.33,9.33099,2.5,7.6
2022-08-25,0.7709922194480896,33291.78125,4199.1201171875,20172.30078125,12639.26953125,2.33,9.33099,2.5,7.6
2022-08-26,0.7729409337043762,32283.400390625,4057.659912109375,19873.30078125,12141.7099609375,2.33,9.33099,2.5,7.6
2022-08-29,0.7656205296516418,32098.990234375,4030.610107421875,19836.099609375,12017.669921875,2.33,9.33099,2.5,7.6
