,Close,^DJI,^FTSE,^GSPC,^IXIC,usd_interest,usd_inflation,gbp_interest,gbp_inflation
2019-11-18,1.2921231985092163,28036.220703125,7307.7001953125,3122.030029296875,8549.9404296875,1.55,1.31166,0.75,1.5
2019-11-19,1.2950851917266846,27934.01953125,7323.7998046875,3120.179931640625,8570.66015625,1.55,1.31166,0.75,1.5
2019-11-20,1.2929502725601196,27821.08984375,7262.5,3108.4599609375,8526.73046875,1.55,1.31166,0.75,1.5
2019-11-21,1.2927078008651731,27766.2890625,7238.60009765625,3103.5400390625,8506.2099609375,1.55,1.31166,0.75,1.5
2019-11-22,1.2919896841049194,27875.619140625,7326.7998046875,3110.2900390625,8519.8798828125,1.55,1.31166,0.75,1.5
2019-11-25,1.2853471040725708,28066.470703125,7396.2998046875,3133.639892578125,8632.490234375,1.55,1.31166,0.75,1.5
2019-11-26,1.289723515510559,28121.6796875,7403.10009765625,3140.52001953125,8647.9296875,1.55,1.31166,0.75,1.5
2019-11-27,1.2860909700393677,28164.0,7429.7998046875,3153.6298828125,8705.1796875,1.55,1.31166,0.75,1.5
2019-11-29,1.29128897190094,28051.41015625,7346.5,3140.97998046875,8665.4697265625,1.56,1.31166,0.75,1.5
2019-12-02,1.29128897190094,27783.0390625,7285.89990234375,3113.8701171875,8567.990234375,1.56,1.31166,0.75,1.5
2019-12-03,1.294062852859497,27502.810546875,7158.7998046875,3093.199951171875,8520.6396484375,1.55,1.31166,0.75,1.5
2019-12-04,1.2997816801071167,27649.779296875,7188.5,3112.760009765625,8566.669921875,1.55,1.31166,0.75,1.5
2019-12-05,1.311131477355957,27677.7890625,7137.89990234375,3117.429931640625,8570.7001953125,1.55,1.31166,0.75,1.5
2019-12-06,1.3158414363861084,28015.060546875,7239.7001953125,3145.909912109375,8656.5302734375,1.55,1.31166,0.75,1.5
2019-12-09,1.3139568567276,27909.599609375,7233.89990234375,3135.9599609375,8621.830078125,1.55,1.31166,0.75,1.5
2019-12-10,1.314578652381897,27881.720703125,7213.7998046875,3132.52001953125,8616.1796875,1.55,1.31166,0.75,1.5
2019-12-11,1.3131287097930908,27911.30078125,7216.2998046875,3141.6298828125,8654.0498046875,1.55,1.69135,0.75,1.5
2019-12-12,1.32000994682312,28132.05078125,7273.5,3168.570068359375,8717.3203125,1.55,1.69135,0.75,1.5
2019-12-13,1.347527265548706,28135.380859375,7353.39990234375,3168.800048828125,8734.8798828125,1.55,1.69135,0.75,1.5
2019-12-16,1.335327386856079,28235.890625,7519.10009765625,3191.449951171875,8814.23046875,1.56,1.69135,0.75,1.5
2019-12-17,1.3272457122802734,28267.16015625,7525.2998046875,3192.52001953125,8823.3603515625,1.55,1.69135,0.75,1.5
2019-12-18,1.3122154474258425,28239.279296875,7540.7998046875,3191.139892578125,8827.740234375,1.55,1.69135,0.75,1.5
2019-12-19,1.3087291717529297,28376.9609375,7573.7998046875,3205.3701171875,8887.2197265625,1.55,1.69135,0.75,1.5
2019-12-20,1.3017443418502808,28455.08984375,7582.5,3221.219970703125,8924.9599609375,1.55,1.69135,0.75,1.5
2019-12-23,1.3005423545837402,28551.529296875,7623.60009765625,3224.010009765625,8945.650390625,1.55,1.69135,0.75,1.5
2019-12-24,1.2944984436035156,28515.44921875,7632.2001953125,3223.3798828125,8952.8798828125,1.55,1.69135,0.75,1.5
2019-12-27,1.300220966339111,28645.259765625,7644.89990234375,3240.02001953125,9006.6201171875,1.55,1.69135,0.75,1.5
2019-12-30,1.3091918230056765,28462.140625,7587.10009765625,3221.2900390625,8945.990234375,1.55,1.69135,0.75,1.5
2019-12-31,1.3113033771514893,28538.439453125,7542.39990234375,3230.780029296875,8972.599609375,1.55,1.69135,0.75,1.5
2020-01-02,1.3250298500061035,28868.80078125,7604.2998046875,3257.85009765625,9092.1904296875,1.55,1.69135,0.75,1.5
2020-01-03,1.3152703046798706,28634.880859375,7622.39990234375,3234.85009765625,9020.76953125,1.55,1.69135,0.75,1.5
2020-01-06,1.308010220527649,28703.380859375,7575.2998046875,3246.280029296875,9071.4697265625,1.55,1.69135,0.75,1.5
2020-01-07,1.317002534866333,28583.6796875,7573.89990234375,3237.179931640625,9068.580078125,1.55,1.69135,0.75,1.5
2020-01-08,1.31137216091156,28745.08984375,7574.89990234375,3253.050048828125,9129.240234375,1.55,1.69135,0.75,1.5
2020-01-09,1.3105130195617676,28956.900390625,7598.10009765625,3274.699951171875,9203.4296875,1.55,1.69135,0.75,1.5
2020-01-10,1.3070186376571655,28823.76953125,7587.89990234375,3265.35009765625,9178.8603515625,1.54,1.69135,0.75,1.5
2020-01-13,1.3045634031295776,28907.05078125,7617.60009765625,3288.1298828125,9273.9296875,1.54,1.69135,0.75,1.5
2020-01-14,1.2988194227218628,28939.669921875,7622.39990234375,3283.14990234375,9251.330078125,1.54,1.98752,0.75,1.5
2020-01-15,1.3022528886795044,29030.220703125,7642.7998046875,3289.2900390625,9258.7001953125,1.54,1.98752,0.75,1.4
2020-01-16,1.304121017456055,29297.640625,7609.7998046875,3316.81005859375,9357.1298828125,1.54,1.98752,0.75,1.4
2020-01-17,1.3078734874725342,29348.099609375,7674.60009765625,3329.6201171875,9388.9404296875,1.55,1.98752,0.75,1.4
2020-01-21,1.3005592823028564,29196.0390625,7610.7001953125,3320.7900390625,9370.8095703125,1.55,1.98752,0.75,1.4
2020-01-22,1.3048017024993896,29186.26953125,7571.89990234375,3321.75,9383.76953125,1.55,1.98752,0.75,1.4
2020-01-23,1.3144749402999878,29160.08984375,7507.7001953125,3325.5400390625,9402.48046875,1.55,1.98752,0.75,1.4
2020-01-24,1.311991572380066,28989.73046875,7586.0,3295.469970703125,9314.91015625,1.55,1.98752,0.75,1.4
2020-01-27,1.3061821460723877,28535.80078125,7412.10009765625,3243.6298828125,9139.3095703125,1.55,1.98752,0.75,1.4
2020-01-28,1.3060115575790403,28722.849609375,7480.7001953125,3276.239990234375,9269.6796875,1.55,1.98752,0.75,1.4
2020-01-29,1.3024563789367676,28734.44921875,7483.60009765625,3273.39990234375,9275.16015625,1.55,1.98752,0.75,1.4
2020-01-30,1.3022021055221558,28859.439453125,7382.0,3283.659912109375,9298.9296875,1.6,1.98752,0.75,1.4
2020-01-31,1.3089004755020142,28256.029296875,7286.0,3225.52001953125,9150.9404296875,1.59,1.98752,0.75,1.4
2020-02-03,1.31816565990448,28399.810546875,7326.2998046875,3248.919921875,9273.400390625,1.59,1.98752,0.75,1.4
2020-02-04,1.2997479438781738,28807.630859375,7439.7998046875,3297.590087890625,9467.9697265625,1.59,1.98752,0.75,1.4
2020-02-05,1.3032711744308472,29290.849609375,7482.5,3334.68994140625,9508.6796875,1.59,1.98752,0.75,1.4
