,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
638,50,64,0.01,64,32,tanh,tanh,5.917403834626461e-06,0.002432571444917181,0.0022561753402512525
768,100,16,0.001,32,32,sigmoid,relu,5.927788820856176e-06,0.002434705078824985,0.00212583228533189
138,50,16,0.01,64,16,sigmoid,relu,5.9355724857406e-06,0.002436303036516722,0.00218019874159977
40,50,16,0.001,32,32,sigmoid,sigmoid,5.943834440464529e-06,0.0024379980394710183,0.002232406115176794
128,50,16,0.01,32,64,relu,tanh,5.945047815787827e-06,0.0024382468734293144,0.002051224092696376
602,50,64,0.01,32,16,tanh,tanh,5.956058190109533e-06,0.00244050367549601,0.002113742330206389
90,50,16,0.01,16,32,relu,relu,5.9658288451429995e-06,0.0024425046254087216,0.0020699545810589346
1016,100,32,0.001,32,32,tanh,tanh,5.968627159029151e-06,0.0024430773952188152,0.00199306643943403
869,100,16,0.01,64,16,sigmoid,tanh,5.969025981860821e-06,0.002443159016900214,0.0021621724584609393
807,100,16,0.001,64,64,tanh,relu,5.9760991415856805e-06,0.0024446061321991485,0.002003058814887189
1050,100,32,0.001,64,64,tanh,relu,5.992162192261293e-06,0.0024478893341532606,0.0020458255907962945
10,50,16,0.001,16,32,relu,sigmoid,5.992578871196995e-06,0.002447974442513033,0.002074325892913473
840,100,16,0.01,32,16,sigmoid,relu,5.992766427249753e-06,0.00244801275063055,0.0020041325586983958
1064,100,32,0.01,16,32,relu,tanh,5.99533429689575e-06,0.002448537174905815,0.001964485058584506
882,100,16,0.01,64,64,relu,relu,6.000038044436667e-06,0.0024494975085589833,0.0019999698134973323
865,100,16,0.01,64,16,relu,sigmoid,6.004179722860748e-06,0.0024503427766050913,0.0020630503106187663
265,50,32,0.001,16,64,sigmoid,sigmoid,6.004764544802046e-06,0.00245046210841997,0.0022163254613756715
834,100,16,0.01,16,64,tanh,relu,6.004891712102526e-06,0.0024504880558987685,0.0019907659316077265
1106,100,32,0.01,32,64,tanh,tanh,6.00587162081164e-06,0.0024506879892821198,0.0021435428992407383
314,50,32,0.001,64,32,tanh,tanh,6.013591332339255e-06,0.002452262492544233,0.0019109872493202763
883,100,16,0.01,64,64,relu,sigmoid,6.028139322157862e-06,0.002455226939033918,0.0019761121218103837
454,50,32,0.1,32,64,sigmoid,sigmoid,6.031138896875349e-06,0.002455837717943787,0.0020793702392094934
61,50,16,0.001,64,16,tanh,sigmoid,6.0598116879957395e-06,0.0024616684764597646,0.0022218996097663228
868,100,16,0.01,64,16,sigmoid,sigmoid,6.081975103426711e-06,0.0024661660737725494,0.0019486082148564142
385,50,32,0.01,64,16,tanh,sigmoid,6.093298502713321e-06,0.0024684607557571825,0.0021656844629803435
1174,100,32,0.1,32,32,sigmoid,sigmoid,6.098146337357568e-06,0.0024694425154997168,0.002015036347005834
823,100,16,0.01,16,32,sigmoid,sigmoid,6.108714873132686e-06,0.0024715814518507548,0.0019447034960705222
878,100,16,0.01,64,32,sigmoid,tanh,6.109821565009291e-06,0.0024718053250628964,0.0021476937891350073
780,100,16,0.001,32,64,tanh,relu,6.114855355404198e-06,0.0024728233570969435,0.0019634907742442148
1376,100,64,0.01,64,64,tanh,tanh,6.1177538277046785e-06,0.002473409353039783,0.0022335068804129345
