,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
1009,100,32,0.001,32,32,relu,sigmoid,7.118689554657757e-06,0.0026680872464478664,0.0021407970945249853
802,100,16,0.001,64,64,relu,sigmoid,7.130961825369479e-06,0.0026703860817060667,0.0022689141276431703
787,100,16,0.001,64,16,sigmoid,sigmoid,7.131609675016022e-06,0.0026705073815692817,0.002205559946427074
1279,100,64,0.001,64,32,relu,sigmoid,7.161651998314558e-06,0.002676126304626625,0.0020944997793363234
1008,100,32,0.001,32,32,relu,relu,7.167871547329103e-06,0.0026772880956910674,0.0021887691308333816
347,50,32,0.01,16,64,sigmoid,tanh,7.180714999414623e-06,0.0026796856157793253,0.002246656859000756
987,100,32,0.001,16,32,tanh,relu,7.2120953931135436e-06,0.0026855344706619468,0.0024294089000011098
798,100,16,0.001,64,32,tanh,relu,7.2212669994045455e-06,0.002687241522343041,0.002097618187670055
606,50,64,0.01,32,32,sigmoid,relu,7.2221176215521115e-06,0.002687399788187852,0.002240186203635487
862,100,16,0.01,32,64,tanh,sigmoid,7.236760659622049e-06,0.0026901227963834753,0.0022346546765185634
175,50,16,0.1,16,32,sigmoid,sigmoid,7.248929950944652e-06,0.002692383693113716,0.0020435494297220353
1240,100,64,0.001,16,64,tanh,sigmoid,7.251864940531454e-06,0.00269292869206213,0.0022473911362222458
503,50,64,0.001,16,32,tanh,tanh,7.261257337096809e-06,0.002694672027742302,0.0022173401599760133
364,50,32,0.01,32,32,sigmoid,sigmoid,7.271994402141513e-06,0.0026966635685864698,0.0022055055276773163
557,50,64,0.001,64,32,tanh,tanh,7.277216945696111e-06,0.0026976317290720226,0.002218610123572394
6,50,16,0.001,16,16,tanh,relu,7.286065896488047e-06,0.0026992713639958556,0.0022173495285599315
383,50,32,0.01,64,16,sigmoid,tanh,7.294968626068191e-06,0.002700919959211711,0.002294214075232757
1262,100,64,0.001,32,64,relu,tanh,7.316271790770513e-06,0.002704860771050982,0.002115824816049125
1259,100,64,0.001,32,32,tanh,tanh,7.328366461992258e-06,0.002707095576811476,0.0021490779684920154
588,50,64,0.01,16,64,sigmoid,relu,7.3353737189670176e-06,0.0027083895065088065,0.0022713435980750924
1248,100,64,0.001,32,16,tanh,relu,7.366224323743021e-06,0.0027140789089013274,0.0021973198142339117
306,50,32,0.001,64,32,relu,relu,7.3759082662684875e-06,0.0027158623430263338,0.002078054444731955
904,100,16,0.1,16,32,sigmoid,sigmoid,7.380517464609714e-06,0.0027167107804493495,0.0021435335884875937
436,50,32,0.1,32,16,sigmoid,sigmoid,7.406243643479707e-06,0.0027214414642758177,0.002360823405626151
1198,100,32,0.1,64,32,relu,sigmoid,7.518883745032951e-06,0.0027420583044554235,0.0024224611697411308
805,100,16,0.001,64,64,sigmoid,sigmoid,7.532646403535042e-06,0.0027445667059729194,0.002277695208810884
170,50,16,0.1,16,16,tanh,tanh,7.53799148676548e-06,0.002745540290501212,0.0024320332022798622
566,50,64,0.001,64,64,tanh,tanh,7.586573841973345e-06,0.002754373584315197,0.0021137448458446377
739,100,16,0.001,16,32,relu,sigmoid,7.60971293216834e-06,0.0027585708133322116,0.0023374079891711765
759,100,16,0.001,32,16,sigmoid,relu,7.6117763767118825e-06,0.0027589447940674495,0.002352696419324466
531,50,64,0.001,32,64,relu,relu,7.642191518014263e-06,0.002764451395487767,0.0021892687597264413
991,100,32,0.001,16,64,relu,sigmoid,7.657133948405884e-06,0.002767152678911282,0.0024639120933419335
1147,100,32,0.1,16,32,sigmoid,sigmoid,7.677217880062135e-06,0.0027707792911132664,0.0020670830522603757
374,50,32,0.01,32,64,sigmoid,tanh,7.695839025301611e-06,0.0027741375281881055,0.0022326329274366084
260,50,32,0.001,16,32,tanh,tanh,7.70971996913401e-06,0.002776638249598606,0.0023253843081021794
322,50,32,0.001,64,64,tanh,sigmoid,7.718291621022465e-06,0.0027781813513560387,0.0023322635378211897
750,100,16,0.001,16,64,sigmoid,relu,7.73112470948601e-06,0.0027804900124772988,0.0023549010437426098
312,50,32,0.001,64,32,tanh,relu,7.736184795475507e-06,0.0027813997906585646,0.002421166367831199
579,50,64,0.01,16,32,sigmoid,relu,7.762375592054585e-06,0.00278610401673279,0.002363926430976464
299,50,32,0.001,64,16,relu,tanh,7.816192723396391e-06,0.0027957454682778957,0.002122640287349851
540,50,64,0.001,64,16,relu,relu,7.822459548431193e-06,0.002796866022610163,0.0022092616647706163
539,50,64,0.001,32,64,tanh,tanh,7.826090494838681e-06,0.002797515057124569,0.0023285482870786583
599,50,64,0.01,32,16,sigmoid,tanh,7.836190833783535e-06,0.0027993197091049703,0.0023144316527984273
