,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
847,100,16,0.01,32,32,relu,sigmoid,5.679756935315046e-06,0.002383224063178921,0.0019801640921813368
1004,100,32,0.001,32,16,sigmoid,tanh,5.68512551346745e-06,0.0023843501239263184,0.0019341363406453688
1335,100,64,0.01,32,32,sigmoid,relu,5.687147295824659e-06,0.002384774055508123,0.002121284126998413
1068,100,32,0.01,16,32,tanh,relu,5.691681001544905e-06,0.002385724418608508,0.0020633742785635075
1311,100,64,0.01,16,32,tanh,relu,5.69471609839828e-06,0.002386360429272636,0.001747411586337303
137,50,16,0.01,64,16,relu,tanh,5.7062780734235795e-06,0.0023887817132219468,0.002028263370630122
782,100,16,0.001,32,64,tanh,tanh,5.726791752808102e-06,0.002393071614642592,0.0018934333134111617
1116,100,32,0.01,64,32,relu,relu,5.760705464959405e-06,0.002400146967366666,0.0020338943811202947
1131,100,32,0.01,64,64,tanh,relu,5.7650548931057375e-06,0.002401052871784738,0.0020515826723538884
1323,100,64,0.01,32,16,relu,relu,5.7890412083989275e-06,0.002406042644759009,0.0020438403473846617
1359,100,64,0.01,64,32,relu,relu,5.789616385244619e-06,0.002406162169356966,0.0020598589776904975
651,50,64,0.1,16,16,sigmoid,relu,5.7926464367326154e-06,0.002406791731067027,0.001780755099350302
1402,100,64,0.1,16,64,tanh,sigmoid,5.804907028867777e-06,0.002409337466787867,0.0020590043835626956
600,50,64,0.01,32,16,tanh,relu,5.810629963242812e-06,0.0024105248314926797,0.0018772874843380194
746,100,16,0.001,16,32,tanh,tanh,5.81178677347708e-06,0.002410764769420086,0.002156604816031343
377,50,32,0.01,32,64,tanh,tanh,5.8289102561995145e-06,0.0024143136200998234,0.0018961615954051383
17,50,16,0.001,16,32,tanh,tanh,5.842707623711171e-06,0.002417169341132551,0.002124602181590192
1113,100,32,0.01,64,16,tanh,relu,5.851319801895012e-06,0.002418950144565822,0.002118396203178011
930,100,16,0.1,32,32,sigmoid,relu,5.8560473009035415e-06,0.002419927127188656,0.0017911256301749215
572,50,64,0.01,16,16,sigmoid,tanh,5.865448569591467e-06,0.002421868817585186,0.0018869400173014731
1031,100,32,0.001,64,16,sigmoid,tanh,5.873862263610641e-06,0.0024236052202474398,0.002079833579297588
1012,100,32,0.001,32,32,sigmoid,sigmoid,5.885631010488059e-06,0.002426031947540687,0.002012107160934695
1082,100,32,0.01,32,16,relu,tanh,5.895299453881681e-06,0.0024280237753946483,0.00203883126339754
1164,100,32,0.1,32,16,sigmoid,relu,5.93398502736683e-06,0.002435977222259443,0.001973082122258416
592,50,64,0.01,16,64,tanh,sigmoid,5.952736704129819e-06,0.002439823088695125,0.0020458416388335512
389,50,32,0.01,64,32,relu,tanh,5.962596464777274e-06,0.0024418428419489394,0.0020420749765410365
