,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
714,50,64,0.1,64,32,sigmoid,relu,1.716228875943999e-05,0.004142739282098258,0.003602412279427456
21,50,16,0.001,16,64,sigmoid,relu,1.7183811556373642e-05,0.004145336121036947,0.0037662568120939805
261,50,32,0.001,16,64,relu,relu,1.725586787393042e-05,0.004154018280403978,0.0036010538925915626
267,50,32,0.001,16,64,tanh,relu,1.727483374122892e-05,0.004156300487359993,0.003465768273522378
229,50,16,0.1,64,32,sigmoid,sigmoid,1.730080549287873e-05,0.004159423697205988,0.0034878747773607597
312,50,32,0.001,64,32,tanh,relu,1.732546746472501e-05,0.0041623872314724645,0.003691906038650516
1245,100,64,0.001,32,16,sigmoid,relu,1.7365765672264646e-05,0.004167225176573093,0.0037285440546762976
496,50,64,0.001,16,32,relu,sigmoid,1.7366820778773014e-05,0.00416735177046203,0.00366339785709163
278,50,32,0.001,32,16,tanh,tanh,1.7369954430733634e-05,0.004167727729918742,0.003704203490560409
1290,100,64,0.001,64,64,sigmoid,relu,1.739721012331088e-05,0.004170996298645071,0.003794705847238096
654,50,64,0.1,16,16,tanh,relu,1.7439567020630654e-05,0.004176070763364847,0.003421730695470751
1413,100,64,0.1,32,32,relu,relu,1.754854537564773e-05,0.004189098396510606,0.0038346356771460414
992,100,32,0.001,16,64,relu,tanh,1.7615336667874094e-05,0.004197062862035079,0.0037598356164903696
247,50,32,0.001,16,16,sigmoid,sigmoid,1.761950688117935e-05,0.004197559634023006,0.0038143235462798487
614,50,64,0.01,32,64,relu,tanh,1.772618871157991e-05,0.004210248058200361,0.0038013985727403977
1217,100,64,0.001,16,16,relu,tanh,1.7727605292359385e-05,0.004210416284924732,0.0037526533391057794
540,50,64,0.001,64,16,relu,relu,1.7760295106865674e-05,0.0042142965138757945,0.003697998813340474
302,50,32,0.001,64,16,sigmoid,tanh,1.7819374436781172e-05,0.0042213000884539316,0.0038528246815995072
27,50,16,0.001,32,16,relu,relu,1.7821471869519107e-05,0.004221548515594616,0.003735009939003471
1281,100,64,0.001,64,32,sigmoid,relu,1.7886718237080102e-05,0.004229269232039987,0.0038518815196553493
550,50,64,0.001,64,32,relu,sigmoid,1.7942206777732817e-05,0.004235824214687481,0.003815484788038291
516,50,64,0.001,32,16,sigmoid,relu,1.7952509745300444e-05,0.0042370402104889736,0.003824165879813558
287,50,32,0.001,32,32,tanh,tanh,1.8021840739027522e-05,0.004245213862578365,0.0037577821472338986
201,50,16,0.1,32,32,sigmoid,relu,1.8097814584853725e-05,0.004254152628297876,0.003940472222569682
420,50,32,0.1,16,32,tanh,relu,1.817108646098483e-05,0.004262755735552394,0.003703344024190683
308,50,32,0.001,64,32,relu,tanh,1.821856470867195e-05,0.004268321064384912,0.0037740867651296435
512,50,64,0.001,16,64,tanh,tanh,1.8266610943869e-05,0.004273945594397407,0.0036403103699888697
517,50,64,0.001,32,16,sigmoid,sigmoid,1.8309945464148697e-05,0.00427901220659029,0.0038455610941595325
298,50,32,0.001,64,16,relu,sigmoid,1.8332295161043163e-05,0.00428162295876729,0.003924820383890048
