,epochs,batch_size,learning_rate,units,units2,activation1,activation2,mse,rmse,mae
1018,100,32,0.001,32,64,relu,sigmoid,3.992990432470396e-06,0.0019982468397248617,0.0016822651438381025
851,100,16,0.01,32,32,sigmoid,tanh,3.9957936373767455e-06,0.001998948132738002,0.0017575624751515848
1414,100,64,0.1,32,32,relu,sigmoid,4.000131601979521e-06,0.002000032900224274,0.0016007573626188297
883,100,16,0.01,64,64,relu,sigmoid,4.012877551095112e-06,0.002003216800821896,0.0017103264290554035
871,100,16,0.01,64,16,tanh,sigmoid,4.020113188885622e-06,0.0020050219921201916,0.0016665311400022539
816,100,16,0.01,16,16,tanh,relu,4.020845110466306e-06,0.002005204505896171,0.0016912784120521982
1233,100,64,0.001,16,64,relu,relu,4.024953954249388e-06,0.002006228789108906,0.0016656589920127738
1150,100,32,0.1,16,32,tanh,sigmoid,4.0250163680723575e-06,0.0020062443440599046,0.0017324577699868436
1363,100,64,0.01,64,32,sigmoid,sigmoid,4.028371259353322e-06,0.002007080282239184,0.0016759579750910668
821,100,16,0.01,16,32,relu,tanh,4.032265710682869e-06,0.002008050226135509,0.0016083333921152537
852,100,16,0.01,32,32,tanh,relu,4.0447898501357235e-06,0.002011166291020144,0.001649469798865271
133,50,16,0.01,32,64,tanh,sigmoid,4.051521534245326e-06,0.002012839172473878,0.0017648660647593697
760,100,16,0.001,32,16,sigmoid,sigmoid,4.052665247541549e-06,0.0020131232569173575,0.0016281121503856077
881,100,16,0.01,64,32,tanh,tanh,4.0572928127648156e-06,0.002014272278706336,0.0016687920157649363
56,50,16,0.001,64,16,relu,tanh,4.062038179390083e-06,0.002015449870225028,0.0016445076490875087
589,50,64,0.01,16,64,sigmoid,sigmoid,4.06328632856494e-06,0.0020157594917462104,0.001658787618369283
1061,100,32,0.01,16,16,tanh,tanh,4.08078673212126e-06,0.0020200957235045223,0.0015799879647055595
439,50,32,0.1,32,16,tanh,sigmoid,4.090557953958875e-06,0.002022512782149689,0.001694840597980283
324,50,32,0.01,16,16,relu,relu,4.091376275816316e-06,0.002022715075292691,0.0016230762434582015
468,50,32,0.1,64,32,relu,relu,4.0934235587921975e-06,0.0020232210850008947,0.0015798103904049044
615,50,64,0.01,32,64,sigmoid,relu,4.105022488125329e-06,0.00202608550859171,0.0016676260863348227
1048,100,32,0.001,64,64,sigmoid,sigmoid,4.126347612591006e-06,0.0020313413333536553,0.0017659222792638844
1021,100,32,0.001,32,64,sigmoid,sigmoid,4.128281584927823e-06,0.002031817310913514,0.0017483987554066033
613,50,64,0.01,32,64,relu,sigmoid,4.129366680688679e-06,0.0020320843192861556,0.001635011905612404
577,50,64,0.01,16,32,relu,sigmoid,4.13093453603251e-06,0.002032470057844029,0.0015775891556134617
699,50,64,0.1,32,64,tanh,relu,4.131482211889895e-06,0.002032604784971711,0.0016064118598503752
1364,100,64,0.01,64,32,sigmoid,tanh,4.1356140752519705e-06,0.0020336209271277603,0.0017190690523557822
288,50,32,0.001,32,64,relu,relu,4.139561256236971e-06,0.0020345911766831612,0.0015978980142574608
20,50,16,0.001,16,64,relu,tanh,4.148792791527944e-06,0.0020368585595293416,0.0016740091219098088
1250,100,64,0.001,32,16,tanh,tanh,4.1527495447124845e-06,0.0020378296162124263,0.0016365235658535315
344,50,32,0.01,16,64,relu,tanh,4.169679016345504e-06,0.002041979190967798,0.0015971751522307319
